AGE,AMT1
63,26300
44,47100
43,6400
26,15000
78,256400
78,114200
63,6400
35,9200
55,19300
1,16600
54,20000
46,62100
73,90500
73,476300
73,-926300
45,6400
23,9600
78,8500
55,14800
9,17500
78,-456400
78,456400
78,456400
78,-456400
78,508400
6,14200
1,7700
6,35800
30,79100
5,9000
24,22000
68,170000
52,66000
47,94400
48,37400
15,24600
31,90300
22,10900
45,12600
57,12600
52,107500
60,137500
53,21900
53,78900
53,12100
47,6400
76,72000
25,6400
11,24800
18,6400
74,6400
28,26400
60,20100
43,21900
48,8500
47,35800
39,6400
84,6400
42,57000
49,6400
75,12300
76,101700
57,6400
66,28700
40,8500
40,100400
64,16300
33,124800
33,94800
33,-124800
40,89100
3,7300
32,19900
68,20100
10,6400
10,-55100
10,54400
63,71400
69,23300
45,112300
61,6400
31,6400
45,15850
63,82200
47,76200
75,14400
45,7400
43,6400
46,8500
28,101800
74,5400
74,195000
0,12000
61,6400
32,12400
35,96400
62,6400
42,471200
45,142500
6,74900
44,632000
40,6400
46,16300
41,12300
53,66000
39,471900
44,82000
68,167400
68,475700
61,250000
74,27400
57,107700
30,10000
20,16400
57,14300
49,39300
45,176300
66,79500
26,34000
5,9000
22,11000
47,108500
63,15800
44,8500
55,13500
39,66500
51,92400
25,6400
32,15000
55,68300
26,78900
50,2900
66,100000
45,48200
41,11400
49,14200
